image_id,chip_id,flood_id,polarization,location,scene_start
awc00_vh,awc00,awc,vh,Bolivia,2018-02-15
awc00_vv,awc00,awc,vv,Bolivia,2018-02-15
awc01_vh,awc01,awc,vh,Bolivia,2018-02-15
awc01_vv,awc01,awc,vv,Bolivia,2018-02-15
awc02_vh,awc02,awc,vh,Bolivia,2018-02-15
awc02_vv,awc02,awc,vv,Bolivia,2018-02-15
awc03_vh,awc03,awc,vh,Bolivia,2018-02-15
awc03_vv,awc03,awc,vv,Bolivia,2018-02-15
awc04_vh,awc04,awc,vh,Bolivia,2018-02-15
awc04_vv,awc04,awc,vv,Bolivia,2018-02-15
awc05_vh,awc05,awc,vh,Bolivia,2018-02-15
awc05_vv,awc05,awc,vv,Bolivia,2018-02-15
awc06_vh,awc06,awc,vh,Bolivia,2018-02-15
awc06_vv,awc06,awc,vv,Bolivia,2018-02-15
awc07_vh,awc07,awc,vh,Bolivia,2018-02-15
awc07_vv,awc07,awc,vv,Bolivia,2018-02-15
awc08_vh,awc08,awc,vh,Bolivia,2018-02-15
awc08_vv,awc08,awc,vv,Bolivia,2018-02-15
awc09_vh,awc09,awc,vh,Bolivia,2018-02-15
awc09_vv,awc09,awc,vv,Bolivia,2018-02-15
awc10_vh,awc10,awc,vh,Bolivia,2018-02-15
awc10_vv,awc10,awc,vv,Bolivia,2018-02-15
awc11_vh,awc11,awc,vh,Bolivia,2018-02-15
awc11_vv,awc11,awc,vv,Bolivia,2018-02-15
awc12_vh,awc12,awc,vh,Bolivia,2018-02-15
awc12_vv,awc12,awc,vv,Bolivia,2018-02-15
awc13_vh,awc13,awc,vh,Bolivia,2018-02-15
awc13_vv,awc13,awc,vv,Bolivia,2018-02-15
awc14_vh,awc14,awc,vh,Bolivia,2018-02-15
awc14_vv,awc14,awc,vv,Bolivia,2018-02-15
ayt00_vh,ayt00,ayt,vh,Nigeria,2018-09-21
ayt00_vv,ayt00,ayt,vv,Nigeria,2018-09-21
ayt01_vh,ayt01,ayt,vh,Nigeria,2018-09-21
ayt01_vv,ayt01,ayt,vv,Nigeria,2018-09-21
ayt02_vh,ayt02,ayt,vh,Nigeria,2018-09-21
ayt02_vv,ayt02,ayt,vv,Nigeria,2018-09-21
ayt03_vh,ayt03,ayt,vh,Nigeria,2018-09-21
ayt03_vv,ayt03,ayt,vv,Nigeria,2018-09-21
ayt04_vh,ayt04,ayt,vh,Nigeria,2018-09-21
ayt04_vv,ayt04,ayt,vv,Nigeria,2018-09-21
ayt05_vh,ayt05,ayt,vh,Nigeria,2018-09-21
ayt05_vv,ayt05,ayt,vv,Nigeria,2018-09-21
ayt06_vh,ayt06,ayt,vh,Nigeria,2018-09-21
ayt06_vv,ayt06,ayt,vv,Nigeria,2018-09-21
ayt07_vh,ayt07,ayt,vh,Nigeria,2018-09-21
ayt07_vv,ayt07,ayt,vv,Nigeria,2018-09-21
ayt08_vh,ayt08,ayt,vh,Nigeria,2018-09-21
ayt08_vv,ayt08,ayt,vv,Nigeria,2018-09-21
ayt09_vh,ayt09,ayt,vh,Nigeria,2018-09-21
ayt09_vv,ayt09,ayt,vv,Nigeria,2018-09-21
ayt10_vh,ayt10,ayt,vh,Nigeria,2018-09-21
ayt10_vv,ayt10,ayt,vv,Nigeria,2018-09-21
ayt11_vh,ayt11,ayt,vh,Nigeria,2018-09-21
ayt11_vv,ayt11,ayt,vv,Nigeria,2018-09-21
ayt12_vh,ayt12,ayt,vh,Nigeria,2018-09-21
ayt12_vv,ayt12,ayt,vv,Nigeria,2018-09-21
ayt13_vh,ayt13,ayt,vh,Nigeria,2018-09-21
ayt13_vv,ayt13,ayt,vv,Nigeria,2018-09-21
ayt14_vh,ayt14,ayt,vh,Nigeria,2018-09-21
ayt14_vv,ayt14,ayt,vv,Nigeria,2018-09-21
ayt15_vh,ayt15,ayt,vh,Nigeria,2018-09-21
ayt15_vv,ayt15,ayt,vv,Nigeria,2018-09-21
ayt16_vh,ayt16,ayt,vh,Nigeria,2018-09-21
ayt16_vv,ayt16,ayt,vv,Nigeria,2018-09-21
ayt17_vh,ayt17,ayt,vh,Nigeria,2018-09-21
ayt17_vv,ayt17,ayt,vv,Nigeria,2018-09-21
coz00_vh,coz00,coz,vh,Pakistan,2017-06-28
coz00_vv,coz00,coz,vv,Pakistan,2017-06-28
coz01_vh,coz01,coz,vh,Pakistan,2017-06-28
coz01_vv,coz01,coz,vv,Pakistan,2017-06-28
coz02_vh,coz02,coz,vh,Pakistan,2017-06-28
coz02_vv,coz02,coz,vv,Pakistan,2017-06-28
coz03_vh,coz03,coz,vh,Pakistan,2017-06-28
coz03_vv,coz03,coz,vv,Pakistan,2017-06-28
coz04_vh,coz04,coz,vh,Pakistan,2017-06-28
coz04_vv,coz04,coz,vv,Pakistan,2017-06-28
coz05_vh,coz05,coz,vh,Pakistan,2017-06-28
coz05_vv,coz05,coz,vv,Pakistan,2017-06-28
coz06_vh,coz06,coz,vh,Pakistan,2017-06-28
coz06_vv,coz06,coz,vv,Pakistan,2017-06-28
coz07_vh,coz07,coz,vh,Pakistan,2017-06-28
coz07_vv,coz07,coz,vv,Pakistan,2017-06-28
coz08_vh,coz08,coz,vh,Pakistan,2017-06-28
coz08_vv,coz08,coz,vv,Pakistan,2017-06-28
coz09_vh,coz09,coz,vh,Pakistan,2017-06-28
coz09_vv,coz09,coz,vv,Pakistan,2017-06-28
coz10_vh,coz10,coz,vh,Pakistan,2017-06-28
coz10_vv,coz10,coz,vv,Pakistan,2017-06-28
coz11_vh,coz11,coz,vh,Pakistan,2017-06-28
coz11_vv,coz11,coz,vv,Pakistan,2017-06-28
coz12_vh,coz12,coz,vh,Pakistan,2017-06-28
coz12_vv,coz12,coz,vv,Pakistan,2017-06-28
coz13_vh,coz13,coz,vh,Pakistan,2017-06-28
coz13_vv,coz13,coz,vv,Pakistan,2017-06-28
coz14_vh,coz14,coz,vh,Pakistan,2017-06-28
coz14_vv,coz14,coz,vv,Pakistan,2017-06-28
coz15_vh,coz15,coz,vh,Pakistan,2017-06-28
coz15_vv,coz15,coz,vv,Pakistan,2017-06-28
coz16_vh,coz16,coz,vh,Pakistan,2017-06-28
coz16_vv,coz16,coz,vv,Pakistan,2017-06-28
coz17_vh,coz17,coz,vh,Pakistan,2017-06-28
coz17_vv,coz17,coz,vv,Pakistan,2017-06-28
coz18_vh,coz18,coz,vh,Pakistan,2017-06-28
coz18_vv,coz18,coz,vv,Pakistan,2017-06-28
coz19_vh,coz19,coz,vh,Pakistan,2017-06-28
coz19_vv,coz19,coz,vv,Pakistan,2017-06-28
coz20_vh,coz20,coz,vh,Pakistan,2017-06-28
coz20_vv,coz20,coz,vv,Pakistan,2017-06-28
coz21_vh,coz21,coz,vh,Pakistan,2017-06-28
coz21_vv,coz21,coz,vv,Pakistan,2017-06-28
coz22_vh,coz22,coz,vh,Pakistan,2017-06-28
coz22_vv,coz22,coz,vv,Pakistan,2017-06-28
coz23_vh,coz23,coz,vh,Pakistan,2017-06-28
coz23_vv,coz23,coz,vv,Pakistan,2017-06-28
coz24_vh,coz24,coz,vh,Pakistan,2017-06-28
coz24_vv,coz24,coz,vv,Pakistan,2017-06-28
coz25_vh,coz25,coz,vh,Pakistan,2017-06-28
coz25_vv,coz25,coz,vv,Pakistan,2017-06-28
coz26_vh,coz26,coz,vh,Pakistan,2017-06-28
coz26_vv,coz26,coz,vv,Pakistan,2017-06-28
coz27_vh,coz27,coz,vh,Pakistan,2017-06-28
coz27_vv,coz27,coz,vv,Pakistan,2017-06-28
hbe00_vh,hbe00,hbe,vh,USA,2019-05-22
hbe00_vv,hbe00,hbe,vv,USA,2019-05-22
hbe01_vh,hbe01,hbe,vh,USA,2019-05-22
hbe01_vv,hbe01,hbe,vv,USA,2019-05-22
hbe02_vh,hbe02,hbe,vh,USA,2019-05-22
hbe02_vv,hbe02,hbe,vv,USA,2019-05-22
hbe03_vh,hbe03,hbe,vh,USA,2019-05-22
hbe03_vv,hbe03,hbe,vv,USA,2019-05-22
hbe04_vh,hbe04,hbe,vh,USA,2019-05-22
hbe04_vv,hbe04,hbe,vv,USA,2019-05-22
hbe05_vh,hbe05,hbe,vh,USA,2019-05-22
hbe05_vv,hbe05,hbe,vv,USA,2019-05-22
hbe06_vh,hbe06,hbe,vh,USA,2019-05-22
hbe06_vv,hbe06,hbe,vv,USA,2019-05-22
hbe07_vh,hbe07,hbe,vh,USA,2019-05-22
hbe07_vv,hbe07,hbe,vv,USA,2019-05-22
hbe08_vh,hbe08,hbe,vh,USA,2019-05-22
hbe08_vv,hbe08,hbe,vv,USA,2019-05-22
hbe09_vh,hbe09,hbe,vh,USA,2019-05-22
hbe09_vv,hbe09,hbe,vv,USA,2019-05-22
hbe10_vh,hbe10,hbe,vh,USA,2019-05-22
hbe10_vv,hbe10,hbe,vv,USA,2019-05-22
hbe11_vh,hbe11,hbe,vh,USA,2019-05-22
hbe11_vv,hbe11,hbe,vv,USA,2019-05-22
hbe12_vh,hbe12,hbe,vh,USA,2019-05-22
hbe12_vv,hbe12,hbe,vv,USA,2019-05-22
hbe13_vh,hbe13,hbe,vh,USA,2019-05-22
hbe13_vv,hbe13,hbe,vv,USA,2019-05-22
hbe14_vh,hbe14,hbe,vh,USA,2019-05-22
hbe14_vv,hbe14,hbe,vv,USA,2019-05-22
hbe15_vh,hbe15,hbe,vh,USA,2019-05-22
hbe15_vv,hbe15,hbe,vv,USA,2019-05-22
hbe16_vh,hbe16,hbe,vh,USA,2019-05-22
hbe16_vv,hbe16,hbe,vv,USA,2019-05-22
hbe17_vh,hbe17,hbe,vh,USA,2019-05-22
hbe17_vv,hbe17,hbe,vv,USA,2019-05-22
hbe18_vh,hbe18,hbe,vh,USA,2019-05-22
hbe18_vv,hbe18,hbe,vv,USA,2019-05-22
hbe19_vh,hbe19,hbe,vh,USA,2019-05-22
hbe19_vv,hbe19,hbe,vv,USA,2019-05-22
hbe20_vh,hbe20,hbe,vh,USA,2019-05-22
hbe20_vv,hbe20,hbe,vv,USA,2019-05-22
hbe21_vh,hbe21,hbe,vh,USA,2019-05-22
hbe21_vv,hbe21,hbe,vv,USA,2019-05-22
hbe22_vh,hbe22,hbe,vh,USA,2019-05-22
hbe22_vv,hbe22,hbe,vv,USA,2019-05-22
hbe23_vh,hbe23,hbe,vh,USA,2019-05-22
hbe23_vv,hbe23,hbe,vv,USA,2019-05-22
hbe24_vh,hbe24,hbe,vh,USA,2019-05-22
hbe24_vv,hbe24,hbe,vv,USA,2019-05-22
hbe25_vh,hbe25,hbe,vh,USA,2019-05-22
hbe25_vv,hbe25,hbe,vv,USA,2019-05-22
hbe26_vh,hbe26,hbe,vh,USA,2019-05-22
hbe26_vv,hbe26,hbe,vv,USA,2019-05-22
hbe27_vh,hbe27,hbe,vh,USA,2019-05-22
hbe27_vv,hbe27,hbe,vv,USA,2019-05-22
hbe28_vh,hbe28,hbe,vh,USA,2019-05-22
hbe28_vv,hbe28,hbe,vv,USA,2019-05-22
hbe29_vh,hbe29,hbe,vh,USA,2019-05-22
hbe29_vv,hbe29,hbe,vv,USA,2019-05-22
hbe30_vh,hbe30,hbe,vh,USA,2019-05-22
hbe30_vv,hbe30,hbe,vv,USA,2019-05-22
hbe31_vh,hbe31,hbe,vh,USA,2019-05-22
hbe31_vv,hbe31,hbe,vv,USA,2019-05-22
hbe32_vh,hbe32,hbe,vh,USA,2019-05-22
hbe32_vv,hbe32,hbe,vv,USA,2019-05-22
hbe33_vh,hbe33,hbe,vh,USA,2019-05-22
hbe33_vv,hbe33,hbe,vv,USA,2019-05-22
hbe34_vh,hbe34,hbe,vh,USA,2019-05-22
hbe34_vv,hbe34,hbe,vv,USA,2019-05-22
hbe35_vh,hbe35,hbe,vh,USA,2019-05-22
hbe35_vv,hbe35,hbe,vv,USA,2019-05-22
hbe36_vh,hbe36,hbe,vh,USA,2019-05-22
hbe36_vv,hbe36,hbe,vv,USA,2019-05-22
hbe37_vh,hbe37,hbe,vh,USA,2019-05-22
hbe37_vv,hbe37,hbe,vv,USA,2019-05-22
hbe38_vh,hbe38,hbe,vh,USA,2019-05-22
hbe38_vv,hbe38,hbe,vv,USA,2019-05-22
hbe39_vh,hbe39,hbe,vh,USA,2019-05-22
hbe39_vv,hbe39,hbe,vv,USA,2019-05-22
hbe40_vh,hbe40,hbe,vh,USA,2019-05-22
hbe40_vv,hbe40,hbe,vv,USA,2019-05-22
hbe41_vh,hbe41,hbe,vh,USA,2019-05-22
hbe41_vv,hbe41,hbe,vv,USA,2019-05-22
hbe42_vh,hbe42,hbe,vh,USA,2019-05-22
hbe42_vv,hbe42,hbe,vv,USA,2019-05-22
hbe43_vh,hbe43,hbe,vh,USA,2019-05-22
hbe43_vv,hbe43,hbe,vv,USA,2019-05-22
hbe44_vh,hbe44,hbe,vh,USA,2019-05-22
hbe44_vv,hbe44,hbe,vv,USA,2019-05-22
hbe45_vh,hbe45,hbe,vh,USA,2019-05-22
hbe45_vv,hbe45,hbe,vv,USA,2019-05-22
hbe46_vh,hbe46,hbe,vh,USA,2019-05-22
hbe46_vv,hbe46,hbe,vv,USA,2019-05-22
hbe47_vh,hbe47,hbe,vh,USA,2019-05-22
hbe47_vv,hbe47,hbe,vv,USA,2019-05-22
hbe48_vh,hbe48,hbe,vh,USA,2019-05-22
hbe48_vv,hbe48,hbe,vv,USA,2019-05-22
hbe49_vh,hbe49,hbe,vh,USA,2019-05-22
hbe49_vv,hbe49,hbe,vv,USA,2019-05-22
hbe50_vh,hbe50,hbe,vh,USA,2019-05-22
hbe50_vv,hbe50,hbe,vv,USA,2019-05-22
hbe51_vh,hbe51,hbe,vh,USA,2019-05-22
hbe51_vv,hbe51,hbe,vv,USA,2019-05-22
hbe52_vh,hbe52,hbe,vh,USA,2019-05-22
hbe52_vv,hbe52,hbe,vv,USA,2019-05-22
hbe53_vh,hbe53,hbe,vh,USA,2019-05-22
hbe53_vv,hbe53,hbe,vv,USA,2019-05-22
hbe54_vh,hbe54,hbe,vh,USA,2019-05-22
hbe54_vv,hbe54,hbe,vv,USA,2019-05-22
hbe55_vh,hbe55,hbe,vh,USA,2019-05-22
hbe55_vv,hbe55,hbe,vv,USA,2019-05-22
hbe56_vh,hbe56,hbe,vh,USA,2019-05-22
hbe56_vv,hbe56,hbe,vv,USA,2019-05-22
hbe57_vh,hbe57,hbe,vh,USA,2019-05-22
hbe57_vv,hbe57,hbe,vv,USA,2019-05-22
hbe58_vh,hbe58,hbe,vh,USA,2019-05-22
hbe58_vv,hbe58,hbe,vv,USA,2019-05-22
hbe59_vh,hbe59,hbe,vh,USA,2019-05-22
hbe59_vv,hbe59,hbe,vv,USA,2019-05-22
hbe60_vh,hbe60,hbe,vh,USA,2019-05-22
hbe60_vv,hbe60,hbe,vv,USA,2019-05-22
hbe61_vh,hbe61,hbe,vh,USA,2019-05-22
hbe61_vv,hbe61,hbe,vv,USA,2019-05-22
hbe62_vh,hbe62,hbe,vh,USA,2019-05-22
hbe62_vv,hbe62,hbe,vv,USA,2019-05-22
hbe63_vh,hbe63,hbe,vh,USA,2019-05-22
hbe63_vv,hbe63,hbe,vv,USA,2019-05-22
hbe64_vh,hbe64,hbe,vh,USA,2019-05-22
hbe64_vv,hbe64,hbe,vv,USA,2019-05-22
hbe65_vh,hbe65,hbe,vh,USA,2019-05-22
hbe65_vv,hbe65,hbe,vv,USA,2019-05-22
hbe66_vh,hbe66,hbe,vh,USA,2019-05-22
hbe66_vv,hbe66,hbe,vv,USA,2019-05-22
hbe67_vh,hbe67,hbe,vh,USA,2019-05-22
hbe67_vv,hbe67,hbe,vv,USA,2019-05-22
hbe68_vh,hbe68,hbe,vh,USA,2019-05-22
hbe68_vv,hbe68,hbe,vv,USA,2019-05-22
hxu00_vh,hxu00,hxu,vh,Somalia,2018-05-07
hxu00_vv,hxu00,hxu,vv,Somalia,2018-05-07
hxu01_vh,hxu01,hxu,vh,Somalia,2018-05-07
hxu01_vv,hxu01,hxu,vv,Somalia,2018-05-07
hxu02_vh,hxu02,hxu,vh,Somalia,2018-05-07
hxu02_vv,hxu02,hxu,vv,Somalia,2018-05-07
hxu03_vh,hxu03,hxu,vh,Somalia,2018-05-07
hxu03_vv,hxu03,hxu,vv,Somalia,2018-05-07
hxu04_vh,hxu04,hxu,vh,Somalia,2018-05-07
hxu04_vv,hxu04,hxu,vv,Somalia,2018-05-07
hxu05_vh,hxu05,hxu,vh,Somalia,2018-05-07
hxu05_vv,hxu05,hxu,vv,Somalia,2018-05-07
hxu06_vh,hxu06,hxu,vh,Somalia,2018-05-07
hxu06_vv,hxu06,hxu,vv,Somalia,2018-05-07
hxu07_vh,hxu07,hxu,vh,Somalia,2018-05-07
hxu07_vv,hxu07,hxu,vv,Somalia,2018-05-07
hxu08_vh,hxu08,hxu,vh,Somalia,2018-05-07
hxu08_vv,hxu08,hxu,vv,Somalia,2018-05-07
hxu09_vh,hxu09,hxu,vh,Somalia,2018-05-07
hxu09_vv,hxu09,hxu,vv,Somalia,2018-05-07
hxu10_vh,hxu10,hxu,vh,Somalia,2018-05-07
hxu10_vv,hxu10,hxu,vv,Somalia,2018-05-07
hxu11_vh,hxu11,hxu,vh,Somalia,2018-05-07
hxu11_vv,hxu11,hxu,vv,Somalia,2018-05-07
hxu12_vh,hxu12,hxu,vh,Somalia,2018-05-07
hxu12_vv,hxu12,hxu,vv,Somalia,2018-05-07
hxu13_vh,hxu13,hxu,vh,Somalia,2018-05-07
hxu13_vv,hxu13,hxu,vv,Somalia,2018-05-07
hxu14_vh,hxu14,hxu,vh,Somalia,2018-05-07
hxu14_vv,hxu14,hxu,vv,Somalia,2018-05-07
hxu15_vh,hxu15,hxu,vh,Somalia,2018-05-07
hxu15_vv,hxu15,hxu,vv,Somalia,2018-05-07
hxu16_vh,hxu16,hxu,vh,Somalia,2018-05-07
hxu16_vv,hxu16,hxu,vv,Somalia,2018-05-07
hxu17_vh,hxu17,hxu,vh,Somalia,2018-05-07
hxu17_vv,hxu17,hxu,vv,Somalia,2018-05-07
hxu18_vh,hxu18,hxu,vh,Somalia,2018-05-07
hxu18_vv,hxu18,hxu,vv,Somalia,2018-05-07
hxu19_vh,hxu19,hxu,vh,Somalia,2018-05-07
hxu19_vv,hxu19,hxu,vv,Somalia,2018-05-07
hxu20_vh,hxu20,hxu,vh,Somalia,2018-05-07
hxu20_vv,hxu20,hxu,vv,Somalia,2018-05-07
hxu21_vh,hxu21,hxu,vh,Somalia,2018-05-07
hxu21_vv,hxu21,hxu,vv,Somalia,2018-05-07
hxu22_vh,hxu22,hxu,vh,Somalia,2018-05-07
hxu22_vv,hxu22,hxu,vv,Somalia,2018-05-07
hxu23_vh,hxu23,hxu,vh,Somalia,2018-05-07
hxu23_vv,hxu23,hxu,vv,Somalia,2018-05-07
hxu24_vh,hxu24,hxu,vh,Somalia,2018-05-07
hxu24_vv,hxu24,hxu,vv,Somalia,2018-05-07
hxu25_vh,hxu25,hxu,vh,Somalia,2018-05-07
hxu25_vv,hxu25,hxu,vv,Somalia,2018-05-07
jja00_vh,jja00,jja,vh,Paraguay,2018-10-31
jja00_vv,jja00,jja,vv,Paraguay,2018-10-31
jja01_vh,jja01,jja,vh,Paraguay,2018-10-31
jja01_vv,jja01,jja,vv,Paraguay,2018-10-31
jja02_vh,jja02,jja,vh,Paraguay,2018-10-31
jja02_vv,jja02,jja,vv,Paraguay,2018-10-31
jja03_vh,jja03,jja,vh,Paraguay,2018-10-31
jja03_vv,jja03,jja,vv,Paraguay,2018-10-31
jja04_vh,jja04,jja,vh,Paraguay,2018-10-31
jja04_vv,jja04,jja,vv,Paraguay,2018-10-31
jja05_vh,jja05,jja,vh,Paraguay,2018-10-31
jja05_vv,jja05,jja,vv,Paraguay,2018-10-31
jja06_vh,jja06,jja,vh,Paraguay,2018-10-31
jja06_vv,jja06,jja,vv,Paraguay,2018-10-31
jja07_vh,jja07,jja,vh,Paraguay,2018-10-31
jja07_vv,jja07,jja,vv,Paraguay,2018-10-31
jja08_vh,jja08,jja,vh,Paraguay,2018-10-31
jja08_vv,jja08,jja,vv,Paraguay,2018-10-31
jja09_vh,jja09,jja,vh,Paraguay,2018-10-31
jja09_vv,jja09,jja,vv,Paraguay,2018-10-31
jja10_vh,jja10,jja,vh,Paraguay,2018-10-31
jja10_vv,jja10,jja,vv,Paraguay,2018-10-31
jja11_vh,jja11,jja,vh,Paraguay,2018-10-31
jja11_vv,jja11,jja,vv,Paraguay,2018-10-31
jja12_vh,jja12,jja,vh,Paraguay,2018-10-31
jja12_vv,jja12,jja,vv,Paraguay,2018-10-31
jja13_vh,jja13,jja,vh,Paraguay,2018-10-31
jja13_vv,jja13,jja,vv,Paraguay,2018-10-31
jja14_vh,jja14,jja,vh,Paraguay,2018-10-31
jja14_vv,jja14,jja,vv,Paraguay,2018-10-31
jja15_vh,jja15,jja,vh,Paraguay,2018-10-31
jja15_vv,jja15,jja,vv,Paraguay,2018-10-31
jja16_vh,jja16,jja,vh,Paraguay,2018-10-31
jja16_vv,jja16,jja,vv,Paraguay,2018-10-31
jja17_vh,jja17,jja,vh,Paraguay,2018-10-31
jja17_vv,jja17,jja,vv,Paraguay,2018-10-31
jja18_vh,jja18,jja,vh,Paraguay,2018-10-31
jja18_vv,jja18,jja,vv,Paraguay,2018-10-31
jja19_vh,jja19,jja,vh,Paraguay,2018-10-31
jja19_vv,jja19,jja,vv,Paraguay,2018-10-31
jja20_vh,jja20,jja,vh,Paraguay,2018-10-31
jja20_vv,jja20,jja,vv,Paraguay,2018-10-31
jja21_vh,jja21,jja,vh,Paraguay,2018-10-31
jja21_vv,jja21,jja,vv,Paraguay,2018-10-31
jja22_vh,jja22,jja,vh,Paraguay,2018-10-31
jja22_vv,jja22,jja,vv,Paraguay,2018-10-31
jja23_vh,jja23,jja,vh,Paraguay,2018-10-31
jja23_vv,jja23,jja,vv,Paraguay,2018-10-31
jja24_vh,jja24,jja,vh,Paraguay,2018-10-31
jja24_vv,jja24,jja,vv,Paraguay,2018-10-31
jja25_vh,jja25,jja,vh,Paraguay,2018-10-31
